光學字符識別	OCR
節日的	festal
節流	throttled
節流中	throttling
節流閥	throttle
節點	node\tnodus
節點版本管理器	nvm\tNode Version Manager
節點的	nodal
節片	proglottis
節疤	gnarl
節目	programme
節目單	playbill
節省	scrimp\tsaving
節省中	economizing
節約	economise\tHooverizes
節約地	sparingly
節約的	sparing
節肢動物	arthropod
節能器	economiser\teconomizer
節食者	dieter
芋頭	taro
芒戈	mungo
芒族	Muong
芒果	mango
芒果數據庫	MongoDB
芒森	Munson
芒福德	Mumford
芒西	Munsey
芙蕾雅	Freya
蕪菁	turnip
蕪菁甘藍	rutabaga
芝加哥	Chicago
芝加哥人	Chicagoan
芝士漢堡	cheeseburger
芝士蛋糕	cheesecake
芝寶打火機	zippo
芝麻	sesame
芥末	wasabi\tmustard
蘆筍	asparagus
蘆葦	reed\tbulrush
蘆葦叢	reeds
蘆葦叢生的	reedy
蘆薈	aloe
芬蘭	Finland
芬蘭人	Finn
芬蘭的	Finnish
芬利	Finley
芬奇	Vinci
芬威克	Fenwick
芬尼	pfennig
芬尼根	Finnegan
芬特明	phentermine
芬芳的	redolent
芬頓	Fenton
芭比	barbie
芭芭拉	Barbara
芭蕾式地	balletically
芭蕾的	balletic
芭蕾舞	ballet
芭蕾舞女	ballerina
芭蕾裙	tutu
芯片	chip
芯片組	chipset
花	flower
花冠	corolla
花卉的	floral
花呢	tweed
花哨	flashy\trazzmatazz
花商	florist
花園	garden
花壇	flowerbed
花崗岩	granite
花崗岩器皿	graniteware
花崗岩的	granitic
花序	inflorescence
花彩	festoon
花斑的	piebald
花斑馬	pinto\tskewbald
花朵	blooms\tblossoms
花束	posy\tbouquet
花栗鼠	chipmunk
花梗	peduncle
花楸	rowan
花環	lei\tanadem
花瓣	petal
花瓶	vase\tbimbo
花生	peanut\tgoober
花盆	flowerpot
花粉	pollen
花粉症	pollinosis
花花公子	dandy\tcoxcomb
花花女郎	playgirl
花葯	anther
花葯的	antheral
花蓮	hualien
花萼	calyx
花蜜	nectar
花費	spend\texpend
花費者	spender
花邊	lace\tpicot
花鍵	spline
花青素	anthocyanin
花飾	curlicue
花香的	blossomy
芳香	odorousness
芳香地	odorously\tfragrantly
芳香療法	aromatherapy
芳香的	odorous\taromatic
芹菜	celery
芽	bud
苄基	benzyl
葦鳥	reedbird
莧菜	amaranth
蒼頭燕雀	chaffinch
蒼白	wan\tpale
蒼白地	wanly\tpalely
蒼白的	pallid
蒼穹	firmament
蒼耳	cocklebur
蒼鷺	heron
蒼鷹	goshawk
蘇丹	Sudan\tsultan
蘇丹後	sultaness
蘇丹國	sultanate
蘇丹的	Sudanic\tSudanese
蘇伊士	Suez
蘇克雷	sucre
蘇茲貝格	Sulzberger
蘇加諾	Sukarno
蘇聖瑪麗	Sault
蘇帕貝斯	Supabase
蘇打水	soda\tseltzer
蘇打餅乾	saltine
蘇拉威西	Celebes
蘇族	Sioux
蘇格蘭	Scottish\tScotland
蘇格蘭人	Scot
蘇格蘭便帽	glengarry
蘇格蘭男人	Scotsmen\tScotsman
蘇格蘭的	Scots
蘇格拉底	Socrates
蘇格拉底的	Socratic
蘇澤	suse
蘇活	SOHO
蘇玳酒	sauterne
蘇珊	Susan
蘇珊娜	Suzanne\tSusanne
蘇瓦尼	Suwanee
蘇維埃	soviets
蘇美爾	Sumeria
蘇美爾的	Sumerian
蘇聯	USSR\tSoviet
蘇薩	Sousa
蘇西	Susie
蘇里南	suriname
蘇鐵	cycad
蘇門答臘	Sumatra
蘇門答臘PDF	Sumatra PDF
蘇黎世	Zurich
苔絲	Tess
苔原	tundra
苔蘚	moss
苔蘚學	bryology
苗圃	nurseries
苗牀	seedbed
苗條	slim\tslender
苗條地	slimly
苗條的	svelte
苛刻的	demanding
苛求	exacting
苛求地	exactingly\tdemandingly
苛評	hypercriticism
苛評的	hypercritical
苜蓿	alfalfa
苞片	bract
若蟲的	nymphal
苦	bitter
苦樂參半	bittersweet
苦力	coolie
苦味	bitterness
苦工	fag\tpeon
苦差事	shitwork\tdrudgery
苦幹	slog\tmoil
苦幹者	plodder
苦木	quassia
苦根	bitterroot
苦澀地	bitterly
苦胡桃	bitternut
苦艾	wormwood
苦艾酒	absinth\tabsinthe
苦艾酒中毒	absinthism
苦薄荷	horehound
苦行僧	sadhu\tdervish
苦行的	ascetic
苦行者	ascetics
苦讀	swot
苦酒	bitters
苦難	misery\tmiseries
苯	benzene
苯丙氨酸	phenylalanine
苯丙胺	Benzedrine
苯乙烯	styrene
苯基	phenyl
苯甲酸的	benzoic
苯甲酸鹽	benzoate
苯胺	aniline
苯酚	phenol
英	Eng
英畝	acre
英畝數	acreage
英仙座流星	Perseid
英偉達	NVIDIA
英俊	handsome\thandsomeness
英勇	valor\tvalour
英勇地	gallantly\tvaliantly
英勇的	heroic\tvaliant
英勇者	gallants
英勇行爲	heroics
英國	UK\tblighty
英國習語	anglicism
英國人	Britisher\tEnglishmen
英國佬	limey
英國化	Anglicanize
英國國教	Anglicanism
英國國教徒	Anglicans
英國國教的	Anglican
英國女人	Englishwoman
英國廣播公司	BBC
英國式地	Britishly
英國性	Englishness
英國特色	briticism
英國的	Anglo\tBritish
英寸	inch
英尋	fathom
英擔	cwt
英曼	Inman
英格蘭	Anglia\tengland
英格蘭人	englander
英格拉姆	Ingram
英格索爾	Ingersoll
英泰爾	Itel
英靈殿	Valhalla
英特爾	Intel
英菲尼迪	infiniti
英語	English\tenglish
英語化	Englishize
英迪拉	Indira
英里	mi\tmile
英錢	pennyweight
英鎊	GBP\tquid
英雄	hero
英雄主義	heroism
英雄化	heroize
英雄聯盟	League of Legends
蘋果	apple
蘋果一	Apple One
蘋果包	iPack
蘋果卡	Apple Card
蘋果品種	pippin
蘋果商店	Apple Store
蘋果圖書	Apple Books
蘋果處理器	PowerPC
蘋果平板	iPad
蘋果平板系統	iPadOS
蘋果開發者	Apple Developer
蘋果手錶	Apple Watch
蘋果支付	Apple Pay
蘋果文件系統	Apple File System
蘋果新聞	Apple News
蘋果智能	Apple Intelligence
蘋果服務	AppleCare
蘋果服務+	AppleCare+
蘋果狀的	pomaceous
蘋果電腦	Mac
蘋果電視	Apple TV
蘋果電視+	Apple TV+
蘋果白蘭地	calvados\tapplejack
蘋果短信	iMessage
蘋果筆	Apple Pencil
蘋果筆記本	MacBook\tPowerBook
蘋果筆記本Air	MacBook Air
蘋果筆記本Pro	MacBook Pro
蘋果系統	iOS\tmacOS
蘋果芯片	apple silicon
蘋果街機	Apple Arcade
蘋果視覺	Apple Vision
蘋果視覺專業版	Apple Vision Pro
蘋果賬號	Apple ID
蘋果酒	cider
蘋果醬	applesauce
蘋果酸的	malic
蘋果音樂	Apple Music
茂盛	lush
範例	exemplum\tparadigm
範例的	paradigmatic
範圍	scope\trange
範妮	Fanny\tFannies
範德堡	Vanderburgh
範德普爾	Vanderpoel
範德比爾特	Vanderbilt
範德瓦爾斯	Waals
範思哲	versace
範戴克	vandyke
范登堡	Vandenberg
茄子	eggplant\tbrinjaul
茅屋	jacal
茅膏菜	sundew
茅草	quitch\tthatch
茉莉	jasmine
莖	stem\tstalk
莖生的	cauline
莖稈	haulm
茜素	alizarin
茜草	madder
繭	cocoon
繭綢	pongee
茫然	blankly
茫然地	vacantly
茯苓	tuckahoe
茴香	anise\tfennel
茴香籽	aniseed
茴香酒	ouzo\tanisette
茴魚	grayling
茶	tea
茶匙	teaspoon
茶匙量	teaspoonfuls
茶葉罐	caddy
茶壺	teapot\tteakettle
茶室	tearoom
茶杯	teacup
茶點	refreshments
茶碟	saucer
茶鹼	theine
茶館	teahouse
荊棘	brier\tbramble
荊豆	whin\tgorse
荊豆的	furzy\tgorsy
草	grass
草叢叢生的	tussocky
草書	cursive
草原	steppe\tprairie
草圖	sketch
草地	lea\tsward
草地的	grassy\tmeadowy
草坪	lawn\tgrassplot
草坪般的	lawny
草履蟲	paramecium
草本植物	herbage
草本的	herby\therbaceous
草案	draft
草率	cursoriness
草皮	sod\tturf
草皮客	turfite
草皮的	turfy
草類	grasses
草繪的	sketched
草草記下	jot\tjotted
草藥	herb
草藥師	herbalist
草藥的	herbal
草莓	strawberry\tstrawberries
草蛉	lacewing
草裙舞	hula
草質	grassiness
草酸	oxalic
荒涼	bleakness\tdesolation
荒涼地	bleakly\tdesolately
荒涼的	stark\tbleak
荒地	heath\tbadland
荒地的	heathy
荒廢的	deserted
荒漠化	desertification
荒蕪	barrenness\tdesolations
荒謬	absurd\tabsurdity
荒謬地	absurdly\tludicrously
荒謬的	ludicrous\tridiculous
荒野	wold\twilderness
荔枝	litchi
莢蒾	viburnum\tlaurustinus
蓽澄茄	cubeb
蕎麥	buckwheat
薺菜	pennycress
蕩婦	slut\ttrollop
榮格	Jung
榮格派	Jungian
榮耀	glory\tGloria
榮耀安娜	Gloriana
榮譽	honor\thonour
榮譽的	honorary
熒光	fluorescence
熒光檢查	fluoroscopy
熒光的	fluorescent
熒光計	fluorometer
熒光鏡	fluoroscope
蕁麻	nettle
蕁麻疹	hives\turticaria
藥丸	pill\tbolus
藥典	pharmacopoeia
藥劑師	druggist\tapothecary
藥品	drugs\tpharmaceuticals
藥喇叭	jalap
藥店	drugstore\tpharmacies
藥房	pharmacy\tdispensary
藥旋花	scammony
藥水	potion
藥片	troche\ttablet
藥物	drug\tphysic
藥理學	pharmacology
藥理學家	pharmacologist
藥理學的	pharmacological
藥用上	medicinally
藥用的	medicinal\tofficinal
藥糖	electuary
藥膏	salve\tunguent
藥西瓜	colocynth
藥鼠李	cascara
荷蘭	Dutch\tholand
荷蘭人	Dutchmen\tDutchman
荷蘭漁船	dogger
荷蘭盾	guilder
荷蘭語	nederlands
荷蘭醬	Hollandaise
荷葉邊	flounce\trickrack
荷斯坦	Holstein
荷馬式	Homeric
荷魯斯	Horus
莉絲	Lise
莉茲	Liz\tliz
莉娜	Lena
莉拉	Lila
莉莉	Lilly
莉蓮	Lilian\tLillian
莉迪亞	Lydia
莉齊	Lizzy\tLizzie
莎倫	Sharon
莎士比亞	Shakespeare\tshakeespeare
莎士比亞化	Shakespearize
莎士比亞崇拜	bardolatry
莎士比亞的	Shakespearian\tShakespearean
莎妮婭	shania
莎拉	Sarah
莎綸	Saran
莎草	sedge
莎莎醬	salsa
莫伊謝耶夫	Moiseyev
莫蘭	Moran\tMoreland
莫農加希拉	Monongahela
莫利	Morley
莫卡辛鞋	moccasin
莫臥兒	Moghul
莫吉托	mojito
莫哈韋	mojave
莫奈	Monet
莫妮卡	Monica
莫娜	Mona
莫爾	Mawr\tMohr
莫爾茲比	Moresby
莫爾斯	Morse
莫爾登	Malden
莫爾豪斯	Morehouse
莫爾頓	Moulton
莫德	Maude
莫德斯托	Modesto
莫扎特	Mozart
莫斯	mos
莫斯伯格	Mossberg
莫斯科	Moscow\tMuscovy
莫斯科人	Muscovite
莫斯科尼	Moscone
莫林	Moline
莫桑比克	mozambique
莫比	moby
莫澤	Moser
莫洛托夫	Molotov
莫琳	Maureen\tMaurine
莫納什	Monash
莫耶爾	Moyer
莫莉	Molly\tMollie
莫蒂	morty
莫蒂默	Mortimer
莫里亞蒂	Moriarty
莫里哀	Moliere
莫里爾	Morrill
莫里斯	Morris\tMaurice
莫里斯敦	Morristown
莫里森	Morrison
莫里西	Morrissey
莫霍克	Mohawk
莫頓	Morton
莰烯	camphene
萊克伍德	Lakewood
萊克斯	Lykes
萊克赫斯特	Lakehurst
萊利	Riley
萊因哈德	Reinhard
萊因哈特	Rinehart\tReinhardt
萊因霍爾德	Reinhold
萊姆	lyme
萊姆克	Lemke
萊爾	Lyle
萊爾紗	lisle
萊布尼茨	Leibniz
萊德	Ryder
萊德勞	Laidlaw
萊恩	Len\tlen
萊拉	Leila
萊文	Levin\tLevine
萊文沃思	Leavenworth
萊斯利	lesley\tLeslie
萊斯博斯	lesbos
萊斯特	Lester\tleicester
萊斯特郡	leicestershire
萊昂	Leon
萊昂內爾	Lionel
萊昂納多	Leonardo
萊曼	Lyman
萊比錫	Leipzig
萊熱	Leger
萊特	lett
萊特幣	Litecoin
萊科斯	lycos
萊索托	Lesotho
萊納斯	Linus
萊維特	Levitt
萊繆爾	Lemuel
萊茵河	Rhine
萊茵的	Rhenish
萊茵石	rhinestone
萊茵霍爾特	Rheinholdt
萊蒂西亞	Letitia
萊諾克斯	lenox
萊諾爾	Lenore
萊諾機	Linotype
萊頓	Leyden\tLeiden
蓮花	lotus
蒔蘿	dill
獲利	profited\tprofiting
獲利者	gainer
獲取	getting
獲取器	getters
獲獎	awarded
獲獎的	prizewinning
獲獎者	prizer\tprizeman
獲得	gain\tobtain
獲得獎勵的	rewarded
獲得的	gained\tobtained
獲得者	getter
獲勝	wins\twinning
鶯	warbler
莽夫	hothead
莽撞	foolhardy
莽撞的	hotheaded
菊石	ammonite
菊花	chrysanthemum
菊苣	endive\tsuccory
菌絲	hypha
菌絲體	mycelium
菌絲的	mycelial
菌柄	stipe
菌蓋	pileus
菜單	menu\tcarte
菜單項	menuitem
菜園	kaleyard
菜餚	viand
菜花	cauliflower
菜豆	haricot
菝葜	smilax
菟絲子	dodder
菠菜	spinach
菠蘿	pineapple
菩薩	bodhisatva\tbodhisattva
菱形	rhombus
菱形的	rhombic
菱背響尾蛇	diamondback
菱鐵礦	siderite
菱鮃	brill
菲亞特	FIAT
菲什基爾	Fishkill
菲佐	Fizeau
菲利克斯	Felix
菲利斯	Phyllis
菲利普	Philip\tPhillip
菲利普斯	Phillips
菲利波	Filippo
菲奇	Fitch
菲奇堡	Fitchburg
菲奧娜	fiona
菲奧裏	Fiori
菲奧裏西特	fioricet
菲奧雷洛	Fiorello
菲爾	Phil
菲爾茲	Fields
菲爾普斯	Phelps
菲爾曼	filherman
菲爾科	Philco
菲爾莫爾	Fillmore
菲尼	Feeney
菲律賓	Philippines
菲律賓人	Filipino
菲律賓的	Philippine
菲德爾	Fidel
菲德拉	Phaedra
菲恩	fyne
菲斯克	Fisk\tFiske
菲施拜因	Fischbein
菲普斯	fips\tPhipps
菲格羅斯	phigros
菲比	phoebe
菲涅爾	Fresnel
菲茨帕特里克	Fitzpatrick
菲茨傑拉德	Fitzgerald
菲茨羅伊	Fitzroy
萌	Moe
萌發	germination
萌芽	burgeon
萌芽的	budding\tgerminal
萎縮	atrophy\tatrophies
萎縮中	atrophying
萎縮的	atrophic\tatrophied
萎黃病	chlorosis
萎黃的	chlorotic
萘酚	naphthol
萜烯	terpene
蘿蔔	radish
螢火蟲	firefly\tglowworm
螢石	fluorite
營	battalion
營業額	turnover
營養	nutrition\talimentation
營養上	nutritionally
營養不良	dystrophy\tundernourish
營養不良的	malnourished
營養品	nutriment
營養師	dietician\tdietitian
營養物	nutrient
營養的	trophic\tnutritional
營地	camp\tcampsite
營地聚會	camporee
營房	hutment
營火	campfire
營私舞弊	jobbery
營銷	marketing
營銷員	marketer\tmarketeer
營銷活動	marketings
縈繞	haunt
縈繞的	haunting
薩伏依	Savoy
薩伏依人	Savoyard
薩克拉門託	Sacramento
薩克斯	sax\tSachs
薩克斯號	saxhorn
薩克斯大號	saxtuba
薩克斯管	saxophone
薩克斯頓	Saxton
薩克森	Saxony
薩凡納	Savannah
薩利什	Salish
薩利特頭盔	sallet
薩勒	Salle
薩博	saab
薩吉諾	Saginaw
薩塞克斯	Sussex
薩姆	Sam\tsam
薩姆特	Sumter
薩姆納	Sumner
薩賓	Sabine
薩賓娜	Sabina
薩爾	Sal
薩爾瓦多	Salvador
薩爾瓦多人	Salvadoran
薩爾瓦託雷	Salvatore
薩爾茨堡	salzburg
薩巴里安尼	zabaglione
薩帕特阿多	zapateado
薩當	satang
薩德伯裏	sudbury
薩德勒	Sadler
薩拉	Sara
薩拉姆	Salaam
薩拉爾	salal
薩拉託加	Saratoga
薩拉森人	Saracen
薩拉班德舞	saraband
薩拉米	salami
薩拉索塔	Sarasota
薩摩亞	Samoa\tSamoan
薩斯卡通	Saskatoon
薩斯喀徹溫省	Saskatchewan
薩斯奎漢納	Susquehanna
薩曼莎	samantha
薩格勒布	Zagreb
薩梯	satyr
薩梯的	satyric
薩沃納羅拉	Savonarola
薩滿	shaman
薩特	Sartre
薩班斯	sarbanes
薩瑟蘭	Sutherland
薩福	Sappho
薩福克	Suffolk
薩米	Sammy
薩繆爾森	Samuelson
薩莉	Sally
薩萊納	Salina
薩萊諾	Salerno
薩路基犬	saluki
薩達姆	saddam
薩迪	Sadie
薩那	Sana
薩里	surrey
薩金特	Sargent
薩頓	Sutton
薩默代爾	Summerdale
薩默塞特	Somerset
薩默斯	Somers\tSummers
薩默維爾	Somerville
萼片	sepal
落下	fall
落葉	defoliate\tdefoliation
落葉松	larch\ttamarack
落葉的	deciduous
落後	backward\tbackkward
落後性	backwardness
落後者	laggard\tstraggler
落基山脈	Rockies
落水	overboard
落石	rockfall
落魄	comedown
著名地	famously
著名的	famed\tnoted
葛底斯堡	Gettysburg
葛縷子	caraway
葛藤	kudzu
葡聚糖	dextran
葡萄	grape
葡萄味	grapy
葡萄園	vinery\tgrapery
葡萄乾	raisin
葡萄彈	grapeshot
葡萄柚	grapefruit
葡萄栽培的	viticultural
葡萄栽培者	viticulturist
葡萄牙	Portugal
葡萄牙的	Portuguese
葡萄牙語	por
葡萄球菌	staphylococcus
葡萄種植者	winegrower
葡萄籽	grapestone
葡萄糖	glucose\tdextrose
葡萄藤	grapevine
葡萄酒	wine\tvino
葡萄酒釀造學	oenology
董事	directors
董事會	directorate
董事職位	directorship
葫蘆	gourd\tcalabash
葬禮	funeral\tobsequies
葬禮的	funerary
蔥形飾	ogee
蒂亞瓦	tiava
蒂伯龍	Tiburon
蒂克	Tieck
蒂利希	Tillich
蒂華納	Tijuana
蒂奧加	Tioga
蒂姆	tim\tTim
蒂姆斯	Tims
蒂娜	Tina
蒂爾伯裏	tilbury
蒂格	teague
蒂珀卡努	Tippecanoe
蒂珀雷裏	Tipperary
蒂米	Timmy
蒂羅爾人	tyrolese
蒂芙尼	Tiffany
蒂莉	Tillie
蒂莫西	timothy
蔣	Chiang
蒙	Mont
蒙乃爾	monel
蒙古	Mongolia
蒙古主義	Mongolianism
蒙古人	mongols
蒙古人種的	mongoloid
蒙古包	ger\tyurt
蒙古的	Mongolian
蒙哈榭	Montrachet
蒙哥馬利	Montgomery
蒙大拿	Montana
蒙大拿人	Montanan
蒙太古	Montague
蒙太奇	montage
蒙彼利埃	Montpelier
蒙得維的亞	Montevideo
蒙德	Mundt
矇昧主義	obscurantism
矇昧主義者	obscurant
蒙特	monte
蒙特克萊	Montclair
蒙特利爾	Montreal
蒙特塞拉特	montserrat
蒙特威爾第	Monteverdi
蒙特雷	Monterey
蒙田	Montaigne
矇眼	blindfold
矇眼布	blindfolds
蒙福特	Monfort
蒙羅維亞	Monrovia
蒙羞的	disgraced\tdishonored
蒙茅斯	Monmouth
蒙蒂	Monty
蒙蒂塞洛	Monticello
蒙面	veiling
蒙面的	veiled
蒙馬特	Montmartre
蒲公英	blowball\tdandelion
蒲包花	Calceolaria
蒲式耳	bushel
蒴蓋	pyxidium
蒸發	vaporise\tvaporize
蒸發中	evaporating
蒸發的	evaporated\tevaporative
蒸汽	vapor\tsteam
蒸汽甲板	Steam Deck
蒸汽的	steamy\tvapoury
蒸汽系統	SteamOS
蒸煮中	steaming
蒸過的	steamed
蒸鍋	steamer
蒸餾	distil\tdistill
蒸餾廠	distillery
蒸餾器	alembic\tdistiller
蒸餾的	distilled
蒽	anthracene
蓍草	yarrow\tmilfoil
蓖麻	castor
藍圖	cyanotype\tblueprint
藍堇	fumitory
藍天	bluesky
藍寶石	sapphire
藍帽花	bluebonnet
藍思	lexile
藍晶石	cyanite
藍點牡蠣	bluepoint
藍牙	bluetooth
藍瓶蠅	bluebottle
藍知更鳥	bluebird
藍綠色的	glaucous
藍鬍子	bluebeard
藍色	blue\tblueness
藍花	bluet
藍花楹	jacaranda
藍草音樂	bluegrass
藍莓	blueberry\tblueberries
藍衣人	bluecoat
藍調	blues
藍鈴花	harebell\tbluebell
藍銅礦	azurite
藍魚	bluefish
藍鰭金槍魚	bluefin
薊	thistle
薊絮	thistledown
薊馬	thrips
蓬亂	blowsed\tshagginess
蓬亂的	scraggly
蓬頭	shockheaded
蓬巴杜髮型	pompadour
蓬鬆	bouffant
蓬鬆的	fluffy\tshaggy
蔑視	scorns\tcontemn
蔑視者	scorner
蔓延	sprawl\tcreeping
蔓越莓	cranberry\tcranberries
蔗渣	bagasse
蔗糖	sucrose
蔡	cai
蔡司	Zeiss
蔬菜	greens\tvegetable
蔬菜商	greengrocer
薔薇科的	rosaceous
蕨類	fern\tosmund
蕨類園	fernery
蕨類的	ferny
蘊含項	implicant
蕾絲	Lacey
蕾絲的	lacy
蕾哈娜	rihanna
蕾妮	Renee
薄	thinness
薄伽梵歌	Bhagavad-Gita
薄塗	scumble
薄片	wafer\tshive
薄片狀的	flaky\twafery
薄的	thin
薄紗	voile\ttulle
薄紗地	lacily
薄紗的	gauzy
薄紙	onionskin
薄綢	foulard
薄膜	pellicle
薄膜的	filmy
薄荷	mint\tpennyroyal
薄荷烯	menthene
薄荷糖	mints
薄荷醇	menthol
薄薄地	thinly
薄邊	featheredge
薄餅交換	PancakeSwap
薇拉	Vera
薇薇安	Vivian
薛定諤	Schroedinger
薛西斯	Xerxes
薪水	salary\tsalaries
薪酬	emolument
藪貓	serval
薯條	fries
薯片	chips\tcrisps
薰衣草	lavender
藏書家	bibliophile
藏書狂	bibliomaniac
藏書癖	bibliomania
藏書票	exlibris\tbookplate
藏於掌中	palmed\tpalming
藏匿	stash\tsquirreled
藏族的	Tibetan
藏紅花	saffron
藏身處	hideout\thideaway
藐視	flout
藜	pigweed
藤	rattan
藤叢	canebrake
藤壺	barnacle
藤本植物	liana
藤蔓	vine
藤蔓的	viny
藻類	alga\talgae
藻類學	algology\tphycology
藻類的	algal
藻膠	algin
藻菌	phycomycete
藻菌植物	thallophyte
藻酸鹽	alginate
藿香薊	ageratum
蘑菇	mushroom\tchampignon
蘸	dip
蘸禮	intinction
虎斑	tabby
虎斑貓	tabbies
虎獅	tigon
虎鉗	vise
虎鯨	orca
虐待	mistreat\tmaltreat
虐戀	BDSM
虔信主義	pietism
虔信者	pietist
虔誠	piety\tpiosity
虔誠地	piously\tdevoutly
虔誠的	pious\tgodly
虛僞	hypocrisy\tdisingenuous
虛僞的	jesuitical
虛僞行爲	hypocrisies
虛假	falsity\tmendacity
虛假信息	disinformation
虛假地	phonily\tfalsely
虛假的	spurious\tdelusive
虛己	kenosis
虛幻地	illusively
虛幻的	elusory\tillusive
虛張聲勢	bluff\tbravado
虛弱	infirm\tdebility
虛弱地	feebly\tweakly
虛弱感	goneness
虛弱的	frail\tfeeble
虛擬	virtual
虛擬專用服務器	virtual private server
虛擬專用網絡	virtual private network
虛擬主播	VTuber
虛擬局域網	VLAN\tVirtual Local Area Network
虛擬文件分配表	vfat
虛擬機軟件	VMware\tParallels Desktop
虛擬現實	ovr
虛擬語氣	subjunctive
虛無	nihility\tnothingness
虛無主義	nihilism
虛無主義者	nihilist
虛無的	nihilistic
虛構	figment\tconfabulation
虛構地	fictionally\tfictitiously
虛構的	fictive\timaginary
虛構者	confabulator
虛榮	vanity\tvanities
蟲媒的	entomophilous
蟲子	bugs
蟲洞	wormhole
蟲膠	Lac\tlac
蟲蛀	wormed
蟲蛀的	wormy
蝨卵	nit
蝨子	lice\tlouse
虹吸	siphoning
虹吸管	siphon
虹膜	iris
虹膜炎	iritis
虹膜的	irised
雖然	tho\tthough
蝦	shrimp
蝦皮	shopee
蝦虎魚	goby
蝦蛄	squilla
蝕刻	etch\taquatint
蝕刻師	etcher
蟻丘	anthill
蟻人	Ant-Man
蟻巢	formicary
蟻獅	antlion
蟻酸的	formic
螞蟻	ant\temmet
螞蟻設計	Ant Design
蚊子	skeeter\tMosquito
蠶	silkworm
蠶蛾	bombycid
蚜蟲	aphis\taphid
蚤咬	fleabite
蚯蚓	angleworm\tearthworm
蚯蚓糞	wormcast
蚱蜢	grasshopper
蛆	grub\tmaggot
蛇	snake\tserpent
蛇髮女妖	gorgon
蛇咬	snakebite
蛇夫座	Ophiucus\tOphiuchus
蛇形	snakelike
蛇怪	basilisk
蛇根草	snakeroot
蛇的	ophidian
蛇羣	snakes
蛇葡萄	ampelopsis
蛋	egg
蛋殼	eggshell
蛋奶糊	custard
蛋奶酥	souffle\tsoufflé
蛋彩畫	tempera
蛋杯	eggcup
蛋白	glair\talbumen
蛋白尿	albuminuria
蛋白數據庫	expasy
蛋白石	opal
蛋白質	protein
蛋白質數據庫	InterPro
蛋白質知識庫	uniprotkb
蛋白霜	meringue
蛋糕	cake
蛋黃	yolk
蛋黃醬	mayonnaise
蠣鷸	oystercatcher
蛔蟲	roundworm
蛙人	frogman
蛙類	ranid\tbatrachian
蛛絲	gossamer
蛛形綱動物	arachnid
蛛網膜	arachnoid
蛞蝓	slug
蛤	clam\tquahog
蛤殺毒	ClamAV
蛤蜊	clams
蛭石	vermiculite
蠻勇	foolhardiness
蟯蟲	pinworm\tthreadworm
蛹	pupa\tpupae
蛹的	pupal
蛾	moth
蜀葵	althea\tAlthaea
蜂場	apiaries
蜂巢	hive\tbeehive
蜂房	apiary
蜂擁	swarmed\tswarming
蜂窩	cellular
蜂窩狀	honeycombed
蜂窩狀的	alveolate
蜂窩織炎	phlegmon
蜂箱	skep
蜂糧	beebread
蜂羣	swarm
蜂蜜	mel\thoney
蜂蜜酒	mead\tmetheglin
蜂蠟	beeswax
蜂鳥	hummer\thummingbird
蜂鳴器	buzzer
蜇傷	stung
蜈蚣	centipede\tscolopendra
蜉蝣	dayfly\tmayfly
蛻皮	molt\tslough
蛻皮的	exuvial
蝸牛	snail
蝸牛養殖場	snailery
蜘蛛	spider\taraneid
蜘蛛俠	Spider-Man
蜘蛛抱蛋	aspidistra
蜘蛛網	cobweb
蜘蛛羣	spiders
蜘蛛般的	spidery
蜜月	honeymoon
蜜熊	kinkajou
蜜腺	nectary
蜜蜂	bee\thoneybee
蜜蜂的	apian
蜜雀	tui
蜜露	honeydew
蜜餞	compote
蠟	wax
蠟像	waxwork
蠟制的	waxen
蠟嘴雀	waxbill\tgrosbeak
蠟染	batik
蠟燭	candle
蠟筆	crayon
蠟膏	cerate
蠟質	waxiness
蠟質的	waxy
蜥腳類	sauropod
蜥蜴	lizard
蜥蜴類	saurian
蜷縮	huddled
蜻蜓	dragonfly
蜿蜒	snaked\twinding
蜿蜒的	snaky\tsinuous
蠅卵	flyblow
蠅污的	flyblown
蠅糞點	flyspeck
蠅量級	flyweight
蟬	cicada
蝌蚪	tadpole
蠍子	scorpion
蠍虎座	Lacerta
蝗蟲	locust
蝙蝠	bat\tFledermaus
蝙蝠俠	batman
蝴蝶	butterfly\tbutterflies
蝴蝶犬	papillon
蝴蝶結	bowknot
蝶骨	sphenoid
蠑螈	newt\tsalamander
螃蟹	crab
融化	thaw\tmelt
融化地	meltingly
融化的	thawed\tmelted
融合	fused\tfusion
融合專業版	VMware Fusion Pro
融合播放器	VMware Fusion Player
融合版	VMware Fusion
融水	meltwater
融洽	rapport
融資	financed\tfinancing
蟎蟲	mite
螯	chela
螳螂	mantis
螺絲	screw
螺絲刀	screwdriver
螺旋	helix\tspiral
螺旋上升	spiraling
螺旋地	spirally
螺旋性	spirality
螺旋槳	airscrew\tpropeller
螺旋狀的	gyroidal
螺旋的	spiry\thelical
螺旋磁性	helimagnetism
螺旋管	helitron
螺旋蠅	screwworm
螺旋起重器	jackscrew
螺旋麪	helicoid
螺栓	bolt
螺紋	whorl
螺紋的	whorled
螺線管	solenoid
蟋蟀	grig\tcrickets
蟑螂	roach\tcockroach
蟑螂數據庫	CockroachDB
蟒蛇	boa\tpython
蟒蛇的	pythonic
蟾蜍	toad
