#兼容所有拼音類型的公共簡碼庫	
gj	感覺	根據	關鍵
lkz	兩口子	咧開嘴
llk	老兩口	理論課
llu	理論上	勞力士
lml	羅梅羅	來沒來
lmv	龍門陣	兩秒鐘
lmz	綠帽子	來滿足
lpg	癩皮狗	綠蘋果
lph	臉皮厚	臉譜化
lpj	零配件	拉偏架
lpp	老婆婆	亂蓬蓬	柳飄飄
lpy	老朋友	荔浦芋
lqn	兩千年	六七年
lrj	老人家	路人甲
lrl	利潤率	連日來
lsg	兩三個	吝嗇鬼	李四光
lsh	絡腮鬍	牢騷話	兩三回
lsj	兩三句	老司機
lsn	兩三年	硫酸鈉
lsr	累死人	冷死人
lss	涼颼颼	冷颼颼	兩三歲
ltd	鹿特丹	連通的
lte	老頭兒	聊天兒
ltl	兩條路	亂套了	老頭樂
ltp	老太婆	樂天派	戀童癖
ltu	立體聲	聊天室
ltx	老同學	離退休	兩條線
lvv	連軸轉	籠罩着
lvy	雷陣雨	老中醫
lwe	遛彎兒	拉威爾
lxh	理想化	冷笑話	柳下惠
lxl	留下了	留下來	類型論
lxq	了下去	拉下去	淪陷區
lxt	旅行團	練習題
lxv	老想着	旅行者
lxx	連續性	流行性	來學習
lxz	兩下子	螺旋藻
lyb	另一半	老一輩	留言簿
lyc	來一次	另一側
lyh	聯誼會	萊茵河	羅永浩
lyl	聊一聊	利用率	練一練
lym	另一面	老爺們
lyp	錄音棚	另一篇
lyq	路由器	連衣裙	零用錢
lyu	露一手	錄音室
lyv	另一種	旅遊者	另一隻
lyw	另一位	類藥物
lyy	來源於	老爺爺	綠油油
lzh	老字號	量子化
lzz	老祖宗	亂糟糟	樂滋滋
mbq	買不起	摸不清
mbr	明白人	莫不如
mbt	摸不透	綿白糖
mby	沒必要	沒畢業
mdm	面對面	門對門
meb	墨爾本	馬爾堡
meg	明兒個	摩爾根
meq	門兒清
met	馬耳他	民二庭
mfl	麻煩了	謀福利
mfv	每分鐘	魔法陣	模仿者
mfx	沒發現	密封性
mgd	沒搞懂	敏感度	鎂光燈
mgf	沒工夫	沒辜負
mgp	冒個泡	買股票
mhe	毛孩兒	眯會兒
mhh	明晃晃	每回合
mhl	買回來	梅花鹿	悶葫蘆
mhq	滅火器	沒好氣	買回去
mix	沒出息	沒承想	沒出現
mkf	麥克風	邁克菲
mkn	沒可能	麥康納
mks	馬克思	馬庫斯
mld	沒料到	忙碌的
mli	美聯儲	名利場
mlj	美利堅	汨羅江	麻辣雞
mll	毛利率	迷路了
mls	馬拉松	莫里斯
mlu	馬鈴薯	馬路上
mlv	面臨着	目錄中
mlw	麻辣味	馬拉維
mly	沒理由	馬來亞	瑪利亞
mlz	仫佬族	茉莉子
mmi	毛毛蟲	苗木誠
mmv	每秒鐘	冥冥中	瀰漫着
mmy	毛毛雨	眯眯眼
mnh	慕尼黑	沒奈何	閩南話
mnl	馬尼拉	沒能力
mny	木乃伊	閩南語
mpt	孟婆湯	沒跑題
mqd	馬其頓	瑪奇朵	明確的
mqg	沒去過	煤氣罐
mqx	明確性	民勤縣
mre	美人兒
mry	美容院	美人魚
msl	穆斯林	沒事了	忙死了
msw	沒所謂	穆薩維
mtd	沒聽懂	沒聽到
mtf	滿天飛	木桶飯	滿庭芳
mtj	沒聽見	明天見	茅臺酒
mtl	摩天輪	曼陀羅	馬蹄蓮
mtq	蒙太奇	馬頭琴	沒聽清
mtr	木頭人
mtt	慢吞吞	慢騰騰	米跳臺
mtu	沒聽說	馬桶上
mtx	滿天下	沒頭緒	滿天星
mty	貓頭鷹	每天要
mvb	門診部	美洲盃
mve	沒準兒	免徵額
mvh	民主化	木質化
mvj	民政局	瞄準鏡	沒主見
mvl	命中率	沒着落	瞄準了
mvm	沒這麼	墓誌銘
mvp	木製品	免戰牌	棉織品
mvv	沒找着	民主制
mvw	沒指望	每週五
mvy	沒注意	每週一
mxb	明細表	慢性病
mxd	沒想到	明顯的
mxg	墨西哥	沒想過	沒效果
mxp	明信片
mxr	某些人	喵星人
mxu	每小時	明顯是
mxv	明細賬	冒險者
mxz	慢性子	明孝宗
myb	每一步	沒有被
myc	每一次	沒有錯
myd	慢一點	每一段	滿意的
myi	夢一場	母夜叉	每一處
myj	沒意見	每一句
myk	每一刻	每一款
mym	每一秒	摸一摸	沒有買
myn	每一年	牧羊女
myr	沒有人	明眼人
mys	沒意思	莫耶斯
myu	名義上	沒有說
myy	慢悠悠	沒有用
myz	明一早	牡羊座	每一組
mzd	毛澤東	馬自達
mzg	滿足感	沒資格
mzm	沒怎麼	毛澤民
nbg	拗不過	寧波港
nbj	那不就	腦白金
nbq	南半球	弄不清
nbu	你不是	那不是
nbv	拿不準	耐不住	能幫助
nbz	你不在	牛鼻子
ncl	弄錯了	你錯了
ncs	女廁所	男廁所
ndb	腦電波	尿蛋白
ndg	腦袋瓜	年代感	你的歌
ndl	拿到了	逆定理	你的臉
nfm	內分泌	哪方面
nga	尼姑庵	哪個啊
ngc	哪根蔥	你剛纔
ngz	腦瓜子	那個字	能夠在
nhe	那會兒	女孩兒	男孩兒
nhq	奈何橋	拿回去
nil	年產量	拿出來	拿出了
njd	能見度	你覺得
nkt	你看他	腦殼痛
nld	年齡段	哪來的	努力的
nll	年利率	你來了
nmd	那麼多	諾曼底	那麼大
nmv	南美洲	檸檬汁
nmy	難民營	腦膜炎	你沒有
nmz	哪門子	腦門子	能滿足
nnl	努努力	你那裏
nnq	娘娘腔	娜娜奇
nnz	努努嘴	你腦子
npl	拿破崙	鳥嘌呤
npq	牛脾氣	鬧脾氣
npu	哪怕是	那怕是
npx	牛皮癬	南皮縣
nqh	年輕化
nre	尼日爾	泥人兒
nrm	牛肉麪	男人們
nrp	牛肉片	男人婆
nrr	暖融融	鬧嚷嚷	難讓人
ntl	那條路	哪條路
nus	鳥獸散	能殺死
nvd	腦震盪	哪知道	你知道
nvy	乃至於	拿主意	你這樣
nxb	腦細胞	你先把
nxg	那些個	南線閣
nxl	紐西蘭	拿下了
nxn	那些年	南匈奴
nxu	腦血栓	女學生
nxz	那小子	納西族	你現在
nyd	哪一點	那樣的
nyf	年夜飯	哪一方
nyh	哪一回	男一號
nyk	那一刻	哪一款
nyr	年月日	牛羊肉
nyw	哪一位	你以爲
nyx	弄一下	腦溢血	耐用性
nzj	你自己	娘子軍
nzk	牛仔褲	女租客
pbd	跑不掉	疲憊的
pbp	怕不怕	評不評
pbx	普遍性	陪伴下
pdb	拍電報	跑單幫	跑得比
pfb	評分表	批發部	皮膚病
pfi	剖腹產	平方差
pfm	平方米	旁分泌
pfz	票販子
pgz	爬格子	泡個澡
phh	胖乎乎	配合好
phx	破壞性	平衡性
pix	平常心	排斥性
pjl	破紀錄	潘金蓮
plp	拍了拍	漂流瓶
plt	跑龍套	爬樓梯
pmq	貧民區	排名前
ppp	砰砰砰	啪啪啪
ppr	飄飄然	評判人
ppt	PPT	PowerPoint	泡泡糖
ppz	撇撇嘴	拍片子
pqu	噴氣式	排氣扇
pqx	迫切性	平泉縣
prl	平日裏	泡軟了
pru	譬如說	皮肉傷
psl	蒲松齡	破損率
ptg	葡萄乾	普通股
ptl	泡湯了	跑題了
ptr	普通人	莆田人
ptt	葡萄糖	偏頭痛
ptu	普陀山	披頭士	平臺上
ptx	排他性	平臺型
pty	葡萄牙	葡萄園
pux	普適性	平順性
pvh	破折號	攀枝花	品質好
pvp	拍照片	偏振片	PVP
pvy	偏重於	樸振英
pxb	培訓班	培訓部
pxf	培訓費	排序法
pxx	平行線	培訓下
pxy	偏向於	平行於
pyh	鄱陽湖	便宜貨
pyp	拼一拼	拍一拍
pyq	朋友圈	碰運氣
pyx	拍一下	皮影戲	頗有些
qbv	卻不知	情報站	其本質
qbz	卡脖子	齊步走	翹辮子
qdf	清道夫	卿大夫
qdh	千島湖	啓動後
qdi	氣墊船	騎單車
qdq	瞧得起	啓動器
qdv	期待着	期待值
qfb	全封閉	千分表	千分比
qfh	千分號	且符合
qfl	侵犯了	欠費了
qfq	潛伏期	其父親
qfv	千分之	七分鐘
qfx	啓發性	前鋒線
qgg	氣鼓鼓	羣公告	親哥哥
qgj	缺根筋	請根據
qgl	奇怪了	全攻略
qgq	曲棍球	切過去
qgx	全國性	趨光性
qgy	慶功宴	輕工業	氣管炎
qgz	潛規則	槍桿子
qhc	青花瓷	青花菜
qhd	秦皇島	切換到
qhh	氣呼呼	青海湖
qhj	前後腳	氰化鉀
qhl	親和力	強化了
qht	秋海棠	籤合同
qhu	青海省	恰好是
qhw	前後文	氰化物	去華爲
qjc	前幾次	清君側
qjd	旗艦店	千斤頂	期間的
qjg	清潔工	前幾個	戚繼光
qjj	清潔劑	旗艦機	情景劇
qjl	請見諒	請假了
qjm	前幾名	取件碼	親姐妹
qjp	全鍵盤	敲鍵盤
qjt	前幾天	全家桶	全景圖
qjx	全局性	請教下	情境下
qjy	取決於	且具有
qjz	前腳走	強姦罪
qlg	潛力股	禽流感	奇了怪
qnl	去哪了	去哪裏
qph	俏皮話
qpp	輕飄飄	卻偏偏
qqe	蛐蛐兒
qsu	起訴書	全算上
qti	全脫產	錢塘潮
qtj	錢塘江	其他家
qtq	青銅器	竊聽器
qun	青少年	其實你
qvd	圈重點	起徵點	鉛中毒
qvf	區政府	清政府
qvj	驅逐艦	起重機
qvn	青壯年	去找你
qvs	清真寺	屈指算
qvx	強制性	請知悉
qvy	求知慾	求助於	請注意
qvz	前陣子	牽着走
qwm	區位碼	前五名
qwv	期望值	期望着
qxh	情緒化	取消後
qxj	強心劑	氣象局	七夕節
qxn	前些年	期限內
qxt	前些天	曲線圖	氣象臺
qyb	晴雨表	企業版
qyc	去一次	前一次
qyd	前一段	遷移到
qyf	七月份	秦玥飛
qyh	全運會	區域化	企業號
qyj	企業家	企業級
qyl	請原諒	強有力	其原理
qyq	瞧一瞧	敲一敲
qyu	潛意識	其一是
qyx	區域性	輕一些
qyy	起源於	輕音樂	去醫院
qzb	簽字筆	去做吧
qzx	請諮詢
qzy	起作用	其作用
rbd	容不得	人不多
rbi	認不出	仍保持
rbl	饒不了	然並卵	忍不了
rbq	惹不起	認不清
rbr	日本人	讓不讓	熱不熱
rbx	容不下	人不曉
rdd	肉嘟嘟	扔掉的
rdh	惹的禍	任達華
rdy	熱帶魚	人都有
rdz	軟刀子	人都在
rem	日耳曼
rgq	繞個圈	繞過去
rgy	日光浴	如果有
rhj	潤滑劑	熱乎勁	然後就
rhu	任何事	然後說
rib	日程表	熱插拔
rif	入場費	阮成發
riq	入場券	扔出去
rjm	肉夾饃	溶菌酶
rjp	軟鍵盤	人界篇
rjy	軟件園
rkl	繞口令	人看來
rkq	熱空氣
rll	人流量	熱辣辣	人來了
rlr	揉了揉	日曆日
rmm	軟綿綿	絨毛膜
rnl	忍耐力	惹怒了
rnw	日內瓦	芮乃偉
rpp	軟趴趴
rpu	日偏食	軟盤上
rqq	熱氣球	繞圈圈
rqu	日全食	日全蝕
rqv	人情債	任期制	人羣中
rqw	人情味	人氣旺
rqz	燃氣竈	繞圈子
rru	熱熱身	仍然是
rrx	柔韌性	軟弱性
rsl	認死理	熱死了
rst	染色體	肉絲湯
rtm	人頭馬	讓他們
rtt	熱騰騰	任天堂	軟塌塌
rtu	人頭稅	如圖示
rug	人生觀	入射光
ruq	熱水器	人身權	妊娠期
rvr	繞指柔	入住人
rvy	熱衷於	若真有
rwl	任務欄	讓我來
rwz	繞彎子	讓我再
rxd	人行道	熱心度
rxh	人性化	熱銷貨	入學後
rxr	熱心人	人下人
ryg	榮譽感	讓一個
ryp	日用品	肉燕皮
ryq	任意球	繞一圈
ryt	日月潭	扔菸頭
ryw	容易忘	汝陽王
sbd	斯巴達	三班倒
sbg	三不管	三百個
sbh	三把火	所包含
sbj	所不及	隨筆集
sbn	隨便你	三百年
sbq	三部曲	四部曲
sbs	算不算	斯賓塞
sbu	算不上	三本書
sbz	腮幫子	三步走
sdj	三等獎	三大件
sdl	隨大流	死定了	斯大林
sdr	三代人	宋大仁
sdx	私底下	三疊系	速度型
sfc	私房菜	蘇墳村
sfj	司法局	送風機	司法界
sft	送分題	三伏天	司法廳
sgb	三個半	所公佈
sgl	蘇格蘭	送過來
sgp	算個屁	送果盤
sgv	三國志	三個鍾
sgz	三個字	四個字
shj	松花江	塑化劑
shl	撒哈拉	孫紅雷
shs	四環素
sht	死衚衕	三合土
sjc	私家菜	三家村
sjh	三句話	三結合	隨機化
sji	私家車	時間差	時間戳
sjq	喪家犬	塞進去
skq	鬆口氣	三塊錢
sks	薩克斯	斯卡斯
skt	思考題	斯科特
slb	算了吧	司令部
slg	三連冠	司令官	塞林格
slk	四六開	斯洛克
sll	賽璐珞	酸溜溜	森林裏
slm	所羅門	死了嗎
sln	蘇里南	鎖麟囊
sls	算了算	索羅斯
slx	三兩下	三路線
sly	司令員	三連音
slz	撒拉族	散落在
sml	索馬里	宿命論	所面臨
smm	色眯眯
smv	三明治	司馬昭
smy	什麼樣	掃描儀	薩摩耶
snb	隨你吧	隨你便
snk	斯諾克	蘇納克
spl	撕破臉	四牌樓
sqk	三七開	三千塊
sql	算起來	死去了
sqq	死翹翹
sqy	三缺一	三千元
ssj	聳聳肩	三色堇	三四級
sss	三四歲	嘶嘶嘶
sst	三四天	三絲湯
stl	三條路	喪天良	斯特拉
stq	隨他去	三天前
sue	塞舌爾	三十二
suh	私生活	松山湖
sun	三十年	私生女	四十年
sut	隨身聽	三十天
swk	孫悟空	三萬塊
swl	死亡率	三萬裏
sws	四五歲	三萬三
swy	三文魚	三萬元
sxd	三兄弟	三星堆
sxj	思想家	四星級	三星級
sxu	思想上	三小時
sxw	色香味	私信我
sxx	思想性	蘇小小
syh	私有化	酥油花	所以會
sys	掃一掃	算一算	搜一搜
syu	所以說	四元數
syy	飼養員	掃一眼	所以有
szy	嗓子眼	宋祖英
tal	太矮了	太暗了
tbc	挺不錯	特別脆
tbg	通不過	特別高
tbj	聽不見	它不僅
tbl	太棒了	談不來	填補了
tdq	提得起	特地去
tdu	談得上	特點是
tfb	挺方便	駝峯鼻
tfj	通風機	太費勁	田福軍
tfl	太富了	天婦羅	特氟龍
tfx	突發性	同方向
tgf	太過分	透光閥	託管費
tgg	頭蓋骨	提供給
tgx	提個醒	託關係
tgy	鐵觀音	塗改液	太過於
thb	天花板	童話般
tiw	停車位	填充物
tjl	聽見了	太久了
tjq	太極拳	推進器
tjs	田徑賽	統計司
tla	談戀愛	退了啊
tlf	吐魯番	特呂弗
tlh	挺厲害	體力活
tlj	拖拉機	鐵路局	圖靈獎
tll	太累了	太老了
tlr	同齡人	同路人	太令人
tls	托拉斯	天藍色
tlx	鐵了心	同類型
tlz	捅婁子	鐵離子
tmv	投名狀	鐵木真
tns	突尼斯	天寧寺
tpf	通配符	退票費
tpk	突破口	圖片庫
tpq	踢皮球	投票權
tpx	突破性	拓撲學	頭皮屑
tpy	太平洋	太便宜
tqd	跆拳道	提前到
tqi	聽清楚	通勤車	提取出
tqj	探親假	特權級
tqx	同情心	透氣性
tqy	聽其言	天球儀	提取液
trj	突然間	唐人街
trl	天然林	太熱了	太弱了
trm	天然萌	甜如蜜	同仁們
trx	討人嫌	突然性
try	討人厭	挺容易	太容易
ttg	退堂鼓	疼痛感
tti	土特產	特推出
ttj	推土機	凸透鏡
ttl	淘汰了	彈跳力	吞吐量
tts	淘汰賽	團體賽
ttu	提提神	天台山	天天說
ttw	抬頭紋	踢踏舞	天天玩
tux	特殊性	他手下
tvm	同志們	特徵碼
tvu	通知書	他只是
twd	臺灣島	甜味的
twh	題外話	退伍後
twj	體溫計	跳舞機	甜味劑
twl	太晚了	圖瓦盧	調味料
twp	調味品	調味瓶
tws	同位素
twt	天文臺	提問題
twu	臺灣省	聽我說
twx	天文學	天王星
txi	體現出	通信處	挑選出
txj	退休金	探險家
txm	同學們	條形碼
txu	通訊社	調香師
txv	通行證	體現着
txw	碳纖維	銅臭味
txx	挑釁性	圖形學
txy	同心圓	通訊員	騰訊雲
tyc	同義詞	頭一次
tyg	同一個	體育館
tyi	體育場	統一成
tyn	太陽能	頭一年
tyx	太陽系	太陽穴	橢圓形
tyy	投影儀	聽音樂
tyz	同音字	同樣在
tzl	太早了	偷走了
tzv	投資者	團組織
ubf	少部分	商標法
ubh	說不好	收不回	勢必會
ubj	商標局	社保局
ubk	社保卡	上本科
ubn	上半年	是不能
ubq	上不去	說不清
ubs	十八歲	是白色
ubv	睡不着	殊不知	說不準
ubw	說不完	上百萬
uby	上半夜	上百億
ubz	上輩子	使絆子	上白澤
ucj	收藏夾	收藏家
ucp	收藏品	閃存盤
udg	十多個	時代感	收到過
udm	收到沒	是多麼
udn	十多年	蜀道難
udq	水電氣	省點錢
udr	十多人	山東人
udt	手電筒	識大體	十多天
udu	山東省	說的是
uey	十二月	省二院
ugg	山溝溝	水管工
ugt	摔跟頭	施工圖
uhu	實話說	上海市	石灰石
ukb	時刻表	深拷貝
ukl	順口溜	上課了
uky	社科院	是可以
ulg	十來個	疏離感	失落感
ulh	數理化	省略號
ulj	數量級	睡懶覺	生力軍
uls	說了算	少林寺	十六歲
ult	水龍頭	殺了他
ulx	生理學	生理性
umq	生悶氣	是目前
umt	水蜜桃	生命體
umv	實名制	生命值
umz	數目字	深埋在
ung	少年宮	水暖工	是哪個
upg	審判官	水平高
upm	水平面	商品名
upq	適配器	審判權	手拋球
upx	水平線	視平線
uqb	受氣包	申請表
uqi	說清楚	使汽車
uqs	十七歲	世青賽
uqx	雙曲線	上前線
urh	說人話	上任後
uri	雙人牀	輸入串
urj	雙刃劍	說人家
urs	收容所	上熱搜
usd	十三點	世俗的
uss	十四歲	十三歲
usv	生死戰	十三轍	上訴狀
uti	手推車	石頭城
utl	傷透了	受胎率	滲透率
utw	生態位	豎條紋	上圖爲
utx	試探性	滲透性	生態學
uvd	誰知道	是真的
uvf	市政府	省政府
uvt	手指頭	刷真題
uvu	深圳市	實質上
uwc	商務艙	鼠尾草
uwm	視網膜	是我們
uwq	生物圈	受委屈
uws	事務所	十五歲
uwt	生物體	啥問題
uwu	十位數	殺無赦	手腕上
uwv	生物鐘	守望者
uxf	手續費	失心瘋	盛行風
uxh	說瞎話	生小孩
uxj	數學家	攝像機
uxr	雙休日	手下人	陝西人
uxt	攝像頭	數學題
uxv	受限制	屬性值
uyc	上一次	上一層
uyf	十月份	使用費
uyh	雙引號	商業化
uyr	受益人	涮羊肉
uyt	示意圖	收銀臺
uyv	是一種	受益者	使用者
uyy	適用於	十一月	收銀員
uzy	受阻於	水資源
vbb	皺巴巴	這不比
vbc	真不錯	只保存
vbd	找不到	長不大	準備的
vbj	直播間	豬八戒	製冰機
vbk	睜不開	準備看
vbu	這本書	這不是
vbv	找不着	準不準	值不值
vbx	裝不下	這部戲
vby	止步於	準備用
vbz	這輩子	這幫子
vdj	戰鬥機	祝大家
vdm	知道嗎	值得嗎
vdn	正當年	知道你
vhu	這回事	正好是
vjg	芝加哥	這幾個
vjh	這句話	證監會
vjn	這幾年	拯救你
vjp	中間派	椎間盤	這幾篇
vkv	准考證	竺可楨
vkw	重口味	周康王
vkx	只可惜	真可惜
vky	中科院	這可以
vln	中老年	這兩年
vlt	這兩天	這兩條
vlu	蒸餾水	這裏是
vly	致力於	這裏有
vmb	這麼笨	這麼棒
vmm	這麼慢	裝門面	這麼猛
vmp	這麼胖	這麼拼
vmr	掌門人	證明人	折磨人
vmt	皺眉頭	真命題
vmw	這麼晚	這麼問
vmz	這麼早	摘帽子	這麼做
vne	執牛耳	住哪兒
vnt	這年頭	智囊團	珍妮特
vnv	指南針	指南者
vpr	製片人	紙片人	正派人
vpy	佔便宜	找朋友
vqf	正前方	證券法
vqg	支氣管	佔全國
vqj	中秋節	中情局	這期間
vqr	知其然	知情人	債權人
vqx	準確性	正確性	週期性
vqy	知其一	鍾情於
vsy	之所以	佔所有
vtb	漲停板	招投標
vtg	主題歌	轉託管	只提供
vti	直通車	這條船
vtl	這條路	狀態欄
vtm	這特麼	真他媽	找他們
vtr	豬頭肉	豬腿肉
vtt	直挺挺	偵探團
vtx	狀態下	重頭戲	主體性
vtz	摘桃子	豬蹄子	周天子
vux	真實性	只剩下
vvb	正準備	真正把
vvu	這種事	這正是
vwb	中文版	正誤表	豬尾巴
vwm	中文名	找我們
vxj	照相機	哲學家
vxn	這些年	執行難
vxq	中心區	轉向器	這些錢
vxt	這些天	折線圖
vyc	這一次	中藥材
vye	扎伊爾	針眼兒
vyf	障眼法	找一份
vym	至於嗎	這一幕	張藝謀
vyq	轉一圈	竹葉青	佔有權
vyt	這一天	這一套
vyz	這樣子	這樣做
vzh	梔子花	只在乎
wbb	喂不飽	我並不
wbc	窩邊草	五百次
wbd	王八蛋	我不懂
wbi	完不成	問不出
wbq	玩不起	我不去
wbv	玩不轉	握不住	我保證
wbw	玩不玩	我把我
wcz	誤操作	我曾在
wdv	五大洲	衛隊長	我帶着
wdx	穩定性	我的心
wem	沃爾瑪	玩兒命
wew	沃爾沃	玩兒完
wgf	晚高峯	誤工費
wgh	溫哥華	無怪乎
wgy	五個月	外國語
wgz	五個字	捂蓋子	無規則
whc	文化層	武侯祠	我很菜
whf	未婚夫	維護費
whq	未婚妻	文化圈
wid	完成度	胃腸道
wil	完成了	挖出來
wim	無重碼	五常米
win	未成年
wiv	無產者	維持着
wjz	僞君子	我就在
wkx	僞科學	五顆星
wky	胃潰瘍	無愧於	我可以
wlb	忘了吧	爲了不
wld	五六點	窩裏鬥	未來的
wlf	窩裏反	晚禮服
wlg	烏拉圭	我老公
wlh	網絡化	王力宏
wli	烏龍茶	五輛車
wlk	往來款	我立刻
wln	五六年	爲了能
wlq	爲了錢	烏龍球
wls	蔚藍色	五六歲	威利斯
wlx	物理學	物理系
wly	五糧液	無理由
wmt	僞命題	亡命徒	我每天
wnq	窩囊氣	五年前
wns	威尼斯	維納斯
wnu	毋寧說	我那時
wrj	無人機	無人跡
wrm	萬人迷	爲人民
wry	污染源	五日遊
wsn	外孫女	我送你
wtb	烏托邦	問題吧
wth	渥太華	問題後
wtj	無條件	挖土機	舞臺劇
wtr	委託人	我突然
wva	無障礙	我只愛
wvf	無政府	僞政府
wvg	爲中國	尾椎骨
wvh	無紙化	穩準狠	完之後
wvx	完整性	我只想
wvy	無助於	我終於
wwl	娃娃臉	唯物論	玩完了
wxd	無線電	無限大	無限的
wxi	維修廠	胃下垂	無限長
wxj	文學家	五星級
wxp	五線譜	武俠片
wxq	微信羣	無限期	危險期
wxv	無形中	無休止	我心中
wxw	無線網	我希望
wxx	危險性	我相信
wyd	晚一點	無影燈	唯一的
wye	玩意兒	爲誘餌
wyf	五月份	物業費
wyg	無用功	我一個
wyl	無壓力	無語了
wyn	維也納	我也能
wyv	無意中	我一直
wyy	網易雲	無意義	無異於
wzf	外祖父	衛子夫
wzm	外祖母	我怎麼
wzq	五子棋	我再去
wzx	晚自習	我最想
xau	西安市	性暗示
xbf	想辦法	西北風
xbi	想不出	下半場
xbt	想不通	行不通
xbv	閒不住	新標準
xbz	下輩子	小本子
xcb	下次吧
xcj	下次見	性刺激
xcl	寫錯了	新材料
xcm	小聰明	向側面
xcx	瞎操心	修辭學
xdd	小弟弟	吸頂燈	響噹噹
xdf	小地方	新東方
xdg	信得過	相當高
xdh	現代化	閒得慌
xdj	洗滌劑	向大家
xdk	想得開	希丁克
xdy	相當於	相對於
xdm	想得美	寫代碼
xdr	許多人	想當然
xdw	現代文	小動物
xdx	相對性	新東西
xed	希爾頓	謝耳朵
xej	小而精	現而今
xek	小兒科	修爾克
xeu	形而上
xex	形而下	湘鄂西
xfe	媳婦兒	消費額
xfi	消防車	懸浮窗
xfj	興奮劑	斜方肌
xfp	消費品	先鋒派
xfu	洗髮水	消費稅	想法是
xfv	消費者	新發展
xfx	新發現	興奮性	消費型
xfy	消防員	懸浮液	學法語
xgb	修改版	徐根寶
xgc	小高層	香根草
xgd	香港島	西工大
xgf	下功夫	閒工夫	下工夫
xgi	性高潮	小高潮
xgj	膝關節	洗乾淨
xgx	習慣性	相關性
xgy	習慣於	下個月
xgz	下館子	小個子	洗個澡
xhd	信號燈	小紅點	消化道
xhh	笑呵呵	笑哈哈	小混混
xhm	喜歡嗎	消化酶	小紅帽
xhn	喜歡你	瞎胡鬧
xhv	繡花針	向後轉	喜歡着
xhx	下劃線	繡花鞋	小戶型
xiq	吸塵器	小插曲
xjd	現階段	先進的
xjh	小傢伙	戲劇化	相結合
xji	小轎車	洗剪吹	小劇場
xjk	小金庫	新街口
xjl	下結論	下腳料	現金流
xjp	新加坡	喜劇片
xjq	陷進去	選舉權	小技巧
xjt	心絞痛	小家庭
xjy	相較於	新紀元	喜加一
xmh	瞎忙活	笑面虎	項目會
xpn	橡皮泥	小胖妞
xqt	星期天	像其他
xsf	像素風	泄私憤	刑訴法
xsp	小算盤	小碎片
xsr	性騷擾	嚇死人
xtj	習題集	下臺階
xtq	小提琴	心疼錢
xuq	顯示器	小事情
xvb	修正版	袖珍本	新宙邦
xvd	想知道	諧振動	顯著的
xve	下週二
xvh	瞎指揮	修正後
xvj	新專輯	新主機
xvl	下週六	限制了
xvm	西直門	下週末	徐志摩
xvq	行政區	薛之謙
xvr	下週日	系主任
xvs	下週三	下週四	行者孫
xvw	下週五	學中文
xvy	下週一	懸濁液	像這樣
xwh	下午好	相吻合
xwi	下午茶	相位差
xwj	洗碗機	顯微鏡
xwx	新文學	想問下	新聞學
xwy	夏威夷	希望有
xxg	吸血鬼	新鮮感
xxl	想象力	信息量	新西蘭
xxx	笑嘻嘻	小行星
xyj	洗衣機	西遊記	巡洋艦
xyn	下一年	需要你
xyr	吸引人	嫌疑人
xyu	下意識	協議書	學藝術
xzj	現在就	寫字間
xzm	瞎琢磨	學子們
xzq	協奏曲	選擇權
xzr	閒雜人	西藏人	學做人
xzt	選擇題	寫字檯	現在他
xzx	選擇性	新澤西
ybf	一部分	有部分
ybh	也不會	也不好
ybr	要不然	一般人
ybz	一輩子	也不在
yda	印第安	有答案
ydi	一大串	運動場	有多長
ydp	一大批	一大片
yds	胰島素	亞當斯
ydt	冤大頭	閱讀題
ydw	亞丁灣	原單位
yfh	一幅畫	一番話	一分貨
yfk	預付款	要分開
yfl	引發了	亞非拉	與法律
yfy	依附於	有反應
yfz	一分子	遺腹子	要放在
ygb	一個班	夜光錶	應該把
ygc	一個詞	應該從
ygd	一鍋端	熒光燈	陽關道
yge	壓根兒	伊戈爾
ygf	硬功夫	一公分	楊貴妃
ygh	一鍋燴	應該會
ygm	一個夢	有購買
ygp	熒光屏	預告片
ygv	一鍋粥	一個鐘	有各種
yhu	一回事	印花稅	也還是
yhv	與會者	蘊含着
ykq	一口氣	一塊錢
ykv	眼看着	一刻鐘	要控制
ylc	一兩次	有兩次
ylf	醫療費	有裂縫
yli	一連串	遊樂場	一輛車
ylj	一兩句	羽量級	養老金
ylk	伊拉克	語料庫
yln	一兩年	陽曆年	原諒你
ylq	娛樂圈	一連氣	有了錢
yls	葉綠素	一兩歲	有類似
ylt	一兩天	葉綠體	有兩條
ylw	閻羅王	議論文	原諒我
ylx	娛樂性	依賴性	醫療險
ymc	益母草	油麥菜	芽苗菜
ymd	一面倒	煙幕彈	有名的
yme	爺們兒	有門兒
ymh	雅馬哈	妖魔化	一抹黑
ymj	牙買加	也沒見	衣帽間
ymm	一幕幕	有眉目	影迷們
ymq	羽毛球	一毛錢
ymr	虞美人	野蠻人
ymu	一碼事	也沒事
ymv	一秒鐘	夜明珠	有某種
ymx	亞馬遜	嚴密性	有明顯
ymz	要面子	夜貓子	亞麻籽
ynj	一年級	伊能靜
ynu	雲南省	應納稅
ypg	壓迫感	一屁股
ypl	有魄力	有評論
ypm	一平米	油潑面	一匹馬
ypp	一片片	與品牌
ypy	硬碰硬	有朋友
yqd	優缺點	有趣的
